Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\EXP_V3\01_DESIGN\EXP_HW_V3\Project Outputs for EXP_HW_V3\Pick Place for EXP_V111.txt

========================================================================================================================
File Design Information:

Date:       26/03/25
Time:       15:05
Revision:   ed6fbc6140dc84ed31e905974b4cbcaae8389cd8
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                  
U2         TPS5430DDAR            TopLayer    TPS5430DDAR_V3             1661.908      533.770       270      "IC REG BUCK ADJ 3A 8SOPWR"                                                                  
R56        4.7k                   BottomLayer RES_C_1608X60              1704.615      533.425       90       SMD                                                                                          
JP3        jumper2                TopLayer    JUMPER2                    736.224       984.258       180      ""                                                                                           
R55        22R                    BottomLayer RES_C_1608X60              1396.012      533.425       90       SMD                                                                                          
R54        22R                    BottomLayer RES_C_1608X60              1464.360      533.425       270      SMD                                                                                          
R53        22R                    BottomLayer RES_C_1608X60              1913.844      533.425       90       SMD                                                                                          
R52        22R                    BottomLayer RES_C_1608X60              1777.148      533.425       270      SMD                                                                                          
R51        22R                    BottomLayer RES_C_1608X60              1982.191      533.425       90       SMD                                                                                          
R50        22R                    BottomLayer RES_C_1608X60              1845.496      533.425       270      SMD                                                                                          
R49        22R                    BottomLayer RES_C_1608X60              2187.235      533.425       90       SMD                                                                                          
R48        22R                    BottomLayer RES_C_1608X60              2118.887      533.425       270      SMD                                                                                          
R47        22R                    BottomLayer RES_C_1608X60              2392.279      533.425       90       SMD                                                                                          
R45        22R                    BottomLayer RES_C_1608X60              2323.931      533.425       270      SMD                                                                                          
R44        4.7k                   BottomLayer RES_C_1608X60              1327.664      533.425       90       SMD                                                                                          
R43        4.7k                   BottomLayer RES_C_1608X60              2460.627      533.425       90       SMD                                                                                          
R42        4.7k                   BottomLayer RES_C_1608X60              2255.583      533.425       90       SMD                                                                                          
R41        4.7k                   BottomLayer RES_C_1608X60              1532.707      533.425       90       SMD                                                                                          
R40        4.7k                   BottomLayer RES_C_1608X60              2050.539      533.425       90       SMD                                                                                          
R134       22R                    TopLayer    RES_C_1608X60              2730.690      1732.825      180      SMD                                                                                          
C82        1uF/10V                TopLayer    CAP_C_1608X80              2362.205      1486.790      180      ""                                                                                           
C81        1uF/10V                BottomLayer CAP_C_1608X80              2201.839      965.141       180      ""                                                                                           
C80        1uF/10V                TopLayer    CAP_C_1608X80              1238.000      1156.976      270      ""                                                                                           
C79        1uF/10V                TopLayer    CAP_C_1608X80              1465.000      1044.976      90       ""                                                                                           
C78        0.22uF/10V             TopLayer    CAP_C_1608X80              1393.000      1044.976      90       ""                                                                                           
C77        1uF/10V                TopLayer    CAP_C_1608X80              1238.000      1044.976      270      ""                                                                                           
C76        1uF/10V                TopLayer    CAP_C_1608X80              1466.000      1159.449      90       ""                                                                                           
C75        0.22uF/10V             TopLayer    CAP_C_1608X80              1393.000      1159.449      90       ""                                                                                           
J9         BM04B-SRSS-TB          TopLayer    BM04B-SRSS-TB              233.512       1795.984      90       "CONN HEADER SMD 4POS 1MM"                                                                   
J8         BM04B-SRSS-TB          TopLayer    BM04B-SRSS-TB              451.110       1795.984      90       "CONN HEADER SMD 4POS 1MM"                                                                   
R38        10k/DNP                BottomLayer RES_C_1608X60              1580.709      1781.496      0        SMD                                                                                          
C139       0.1uF/10V              BottomLayer CAP_C_1608X80              1141.732      2693.542      270      ""                                                                                           
C122       0.1uF/10V              BottomLayer CAP_C_1608X80              1301.000      2693.542      270      ""                                                                                           
R30        22R                    TopLayer    RES_C_1608X60              1114.290      1855.296      180      SMD                                                                                          
J3         0532611571             TopLayer    0532611571                 2915.354      2482.677      90       "Conn Shrouded Header (4 Sides) HDR 15 POS 1.25mm Solder RA Side Entry SMD PicoBlade™ T/R" 
R149       10k                    TopLayer    RES_C_1608X60              497.937       2757.263      180      SMD                                                                                          
R133       22R                    TopLayer    RES_C_1608X60              2730.690      1646.831      180      SMD                                                                                          
R132       22R                    TopLayer    RES_C_1608X60              2730.690      1560.837      180      SMD                                                                                          
R131       22R                    TopLayer    RES_C_1608X60              2730.690      1474.843      180      SMD                                                                                          
R130       22R                    TopLayer    RES_C_1608X60              2730.690      1388.849      180      SMD                                                                                          
R129       22R                    TopLayer    RES_C_1608X60              2730.690      1302.854      180      SMD                                                                                          
R128       22R                    TopLayer    RES_C_1608X60              2730.690      1216.860      180      SMD                                                                                          
R127       22R                    TopLayer    RES_C_1608X60              2730.690      1044.872      180      SMD                                                                                          
R126       22R                    TopLayer    RES_C_1608X60              2730.690      958.878       180      SMD                                                                                          
R125       22R                    TopLayer    RES_C_1608X60              2730.689      1130.866      0        SMD                                                                                          
R124       22R                    TopLayer    RES_C_1608X60              2732.284      786.890       180      SMD                                                                                          
R123       22R                    TopLayer    RES_C_1608X60              2732.284      442.913       0        SMD                                                                                          
R122       22R                    TopLayer    RES_C_1608X60              2732.284      700.896       180      SMD                                                                                          
R121       22R                    TopLayer    RES_C_1608X60              2730.689      872.884       0        SMD                                                                                          
R120       22R                    TopLayer    RES_C_1608X60              2732.284      614.902       180      SMD                                                                                          
U22        MB85RS2MTAPNF-G-BDERE1 BottomLayer MB85RS2MTAPNF-G-BDERE1     1345.000      1265.000      0        "FRAM _Ferroelectric RAM_ Memory IC 2Mb _256K x 8_ SPI 40MHz 8-SOP"                          
R148       4.7k                   TopLayer    RES_C_1608X60              1347.157      1855.296      0        SMD                                                                                          
R147       4.7k                   TopLayer    RES_C_1608X60              1347.157      1781.496      0        SMD                                                                                          
R146       4.7k                   TopLayer    RES_C_1608X60              1347.157      1707.697      0        SMD                                                                                          
R145       4.7k                   TopLayer    RES_C_1608X60              1347.157      1633.897      0        SMD                                                                                          
R144       22R                    BottomLayer RES_C_1608X60              1315.000      1434.251      270      SMD                                                                                          
R143       22R                    BottomLayer RES_C_1608X60              1390.306      1434.251      270      SMD                                                                                          
R142       22R                    BottomLayer RES_C_1608X60              1465.612      1434.251      270      SMD                                                                                          
R141       22R                    BottomLayer RES_C_1608X60              1540.919      1434.251      270      SMD                                                                                          
R140       4.7k                   BottomLayer RES_C_1608X60              1114.290      1260.000      0        SMD                                                                                          
R139       4.7k                   BottomLayer RES_C_1608X60              1113.600      1186.016      0        SMD                                                                                          
R135       10k                    TopLayer    RES_C_1608X60              2350.451      733.625       270      SMD                                                                                          
J12        ESQ-107-48-G-D         TopLayer    ESQ-107-37-G-D             2952.756      748.032       90       "CONN SOCKET 14POS 0.1 GOLD PCB"                                                             
C156       0.22uF/10V             BottomLayer CAP_C_1608X80              1271.236      1119.747      0        ""                                                                                           
C155       0.22uF/10V             BottomLayer CAP_C_1608X80              1411.236      1119.747      0        ""                                                                                           
C154       0.1uF/10V              BottomLayer CAP_C_1608X80              851.850       1634.297      270      ""                                                                                           
C153       0.22uF/10V             BottomLayer CAP_C_1608X80              1576.964      1247.444      270      ""                                                                                           
C152       0.22uF/10V             BottomLayer CAP_C_1608X80              1642.480      1247.444      270      ""                                                                                           
X1         25MHz                  TopLayer    XTAL_ECS-250-12-33Q-JES-TR 1376.088      1323.275      45       "Crystal, 8 MHz, -30 to 85 degC, 3.2 x 2.5 x 0.9 mm SMD"                                     
U21        TPL5010DDCR            TopLayer    TPL5010DDCR                735.494       1126.322      0        "IC OSC PROG TIMER TSOT23-6"                                                                 
